order_number,location_id
ORD-162534,13
ORD-162535,1
ORD-162536,1
ORD-162537,1
ORD-162538,140
ORD-162539,11
ORD-162540,2
ORD-162541,1
ORD-162542,20
ORD-162543,7
ORD-162544,2
ORD-162545,11
ORD-162546,20
ORD-162547,1
ORD-162548,7
ORD-162549,1
ORD-162550,78
ORD-162551,1
ORD-162552,19
ORD-162553,7
ORD-162554,19
ORD-162555,1
ORD-162556,7
ORD-162557,14
ORD-162558,1
ORD-162559,12
ORD-162560,7
ORD-162561,20
ORD-162562,14
ORD-162563,130
ORD-162564,7
ORD-162565,2
ORD-162566,7
ORD-162567,2
ORD-162568,13
ORD-162569,14
ORD-162570,130
ORD-162571,1
ORD-162572,12
ORD-162573,1
ORD-162574,11
ORD-162575,12
ORD-162576,14
ORD-162577,20
ORD-162578,11
ORD-162579,8
ORD-162580,130
ORD-162581,8
ORD-162582,11
ORD-162583,11
ORD-162584,13
ORD-162585,14
ORD-162586,11
ORD-162587,1
ORD-162588,204
ORD-162589,130
ORD-162590,11
ORD-162591,1
ORD-162592,11
ORD-162593,4
ORD-162594,8
ORD-162595,69
ORD-162596,14
ORD-162597,7
ORD-162598,14
ORD-162599,17
ORD-162600,12
ORD-162601,130
ORD-162602,7
ORD-162603,204
ORD-162604,14
ORD-162605,11
ORD-162606,2
ORD-162607,23
ORD-162608,130
ORD-162609,4
ORD-162610,13
ORD-162611,19
ORD-162612,204
ORD-162613,23
ORD-162614,204
ORD-162615,204
ORD-162616,204
ORD-162617,1
ORD-162618,13
ORD-162619,130
ORD-162620,204
ORD-162621,11
ORD-162622,8
ORD-162623,11
ORD-162624,198
ORD-162625,13
ORD-162626,204
ORD-162627,13
ORD-162628,31
ORD-162629,3
ORD-162630,130
ORD-162631,71
ORD-162632,23
ORD-162633,2
ORD-162634,3
ORD-162635,13
ORD-162636,12
ORD-162637,11
ORD-162638,17
ORD-162639,204
ORD-162640,2
ORD-162641,13
ORD-162642,71
ORD-162643,1
ORD-162644,78
ORD-162645,198
ORD-162646,11
ORD-162647,7
ORD-162648,4
ORD-162649,204
ORD-162650,7
ORD-162651,1
ORD-162652,19
ORD-162653,8
ORD-162654,7
ORD-162655,78
ORD-162656,7
ORD-162657,19
ORD-162658,11
ORD-162659,11
ORD-162660,20
ORD-162661,11
ORD-162662,20
ORD-162663,4
ORD-162664,204
ORD-162665,204
ORD-162666,204
ORD-162667,209
ORD-162668,209
ORD-162669,14
ORD-162670,14
ORD-162671,11
ORD-162672,23
ORD-162673,78
ORD-162674,204
ORD-162675,20
ORD-162676,55
ORD-162677,4
ORD-162678,130
ORD-162679,11
ORD-162680,78
ORD-162681,71
ORD-162682,11
ORD-162683,20
ORD-162684,19
ORD-162685,204
ORD-162686,13
ORD-162687,204
ORD-162688,204
ORD-162689,19
ORD-162690,12
ORD-162691,14
ORD-162692,23
ORD-162693,13
ORD-162694,11
ORD-162695,11
ORD-162696,1
ORD-162699,204
ORD-162700,8
ORD-162701,19
ORD-162702,20
ORD-162703,2
ORD-162704,11
ORD-162705,19
ORD-162706,23
ORD-162707,2
ORD-162708,15
ORD-162709,11
ORD-162710,1
ORD-162711,13
ORD-162712,198
ORD-162713,19
ORD-162714,204
ORD-162715,204
ORD-162716,12
ORD-162717,20
ORD-162718,204
ORD-162719,14
ORD-162720,204
ORD-162721,71
ORD-162722,1
ORD-162723,11
ORD-162724,15
ORD-162725,1
ORD-162726,11
ORD-162727,3
ORD-162728,15
ORD-162729,23
ORD-162730,19
ORD-162731,2
ORD-162732,69
ORD-162733,1
ORD-162734,7
ORD-162735,19
ORD-162736,71
ORD-162737,20
ORD-162738,198
ORD-162739,19
ORD-162740,11
ORD-162741,11
ORD-162742,11
ORD-162743,11
ORD-162744,11
ORD-162745,11
ORD-162746,11
ORD-162747,11
ORD-162748,23
ORD-162749,3
ORD-162750,20
ORD-162751,198
ORD-162752,204
ORD-162753,204
ORD-162754,4
ORD-162755,7
ORD-162756,13
ORD-162757,7
ORD-162758,11
ORD-162759,71
ORD-162760,204
ORD-162761,204
ORD-162762,14
ORD-162763,19
ORD-162764,71
ORD-162765,13
ORD-162766,198
ORD-162767,7
ORD-162768,23
ORD-162769,7
ORD-162770,14
ORD-162771,71
ORD-162772,13
ORD-162773,4
ORD-162774,204
ORD-162775,17
ORD-162776,20
ORD-162777,71
ORD-162778,14
ORD-162779,1
ORD-162780,204
ORD-162781,23
ORD-162782,11
ORD-162783,7
ORD-162784,23
ORD-162785,2
ORD-162786,14
ORD-162787,71
ORD-162788,14
ORD-162789,7
ORD-162790,23
ORD-162791,7
ORD-162792,11
ORD-162793,14
ORD-162794,130
ORD-162795,14
ORD-162796,11
ORD-162797,71
ORD-162798,2
ORD-162799,13
ORD-162800,11
ORD-162801,55
ORD-162802,20
ORD-162803,13
ORD-162804,11
ORD-162805,14
ORD-162806,204
ORD-162807,11
ORD-162808,3
ORD-162809,19
ORD-162810,13
ORD-162811,204
ORD-162812,69
ORD-162813,7
ORD-162814,204
ORD-162815,2
ORD-162816,15
ORD-162817,23
ORD-162818,71
ORD-162819,13
ORD-162820,69
ORD-162821,12
ORD-162822,204
ORD-162823,198
ORD-162824,7
ORD-162825,71
ORD-162826,11
ORD-162827,14
ORD-162828,1
ORD-162829,2
ORD-162830,11
ORD-162831,14
ORD-162832,12
ORD-162833,11
ORD-162834,14
ORD-162835,71
ORD-162837,209
ORD-162838,204
ORD-162839,204
